## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Sorted_BAM/93-HS1_sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/93-HS1_deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/stats/93-HS1_Duplication_Metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 24 20:49:57 CDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IPKLAND_93-HS1	387147	47481208	1056993	224978	8424014	5377	0.179057	117523715

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000092
2.0	1.667788
3.0	2.113565
4.0	2.411182
5.0	2.609881
6.0	2.74254
7.0	2.831107
8.0	2.890238
9.0	2.929715
10.0	2.956072
11.0	2.973669
12.0	2.985417
13.0	2.99326
14.0	2.998497
15.0	3.001993
16.0	3.004327
17.0	3.005886
18.0	3.006926
19.0	3.007621
20.0	3.008084
21.0	3.008394
22.0	3.008601
23.0	3.008739
24.0	3.008831
25.0	3.008892
26.0	3.008933
27.0	3.008961
28.0	3.008979
29.0	3.008991
30.0	3.008999
31.0	3.009005
32.0	3.009009
33.0	3.009011
34.0	3.009013
35.0	3.009014
36.0	3.009014
37.0	3.009015
38.0	3.009015
39.0	3.009015
40.0	3.009016
41.0	3.009016
42.0	3.009016
43.0	3.009016
44.0	3.009016
45.0	3.009016
46.0	3.009016
47.0	3.009016
48.0	3.009016
49.0	3.009016
50.0	3.009016
51.0	3.009016
52.0	3.009016
53.0	3.009016
54.0	3.009016
55.0	3.009016
56.0	3.009016
57.0	3.009016
58.0	3.009016
59.0	3.009016
60.0	3.009016
61.0	3.009016
62.0	3.009016
63.0	3.009016
64.0	3.009016
65.0	3.009016
66.0	3.009016
67.0	3.009016
68.0	3.009016
69.0	3.009016
70.0	3.009016
71.0	3.009016
72.0	3.009016
73.0	3.009016
74.0	3.009016
75.0	3.009016
76.0	3.009016
77.0	3.009016
78.0	3.009016
79.0	3.009016
80.0	3.009016
81.0	3.009016
82.0	3.009016
83.0	3.009016
84.0	3.009016
85.0	3.009016
86.0	3.009016
87.0	3.009016
88.0	3.009016
89.0	3.009016
90.0	3.009016
91.0	3.009016
92.0	3.009016
93.0	3.009016
94.0	3.009016
95.0	3.009016
96.0	3.009016
97.0	3.009016
98.0	3.009016
99.0	3.009016
100.0	3.009016

