## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Sorted_BAM/BCC51_sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/BCC51_deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/stats/BCC51_Duplication_Metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Mar 25 06:09:48 CDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IPKLAND_BCC51	361532	46362797	877996	169689	5678185	15564	0.12382	173884646

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000293
2.0	1.766474
3.0	2.353336
4.0	2.802846
5.0	3.147152
6.0	3.410875
7.0	3.612876
8.0	3.7676
9.0	3.886111
10.0	3.976886
11.0	4.046416
12.0	4.099672
13.0	4.140464
14.0	4.17171
15.0	4.195642
16.0	4.213973
17.0	4.228014
18.0	4.238769
19.0	4.247006
20.0	4.253316
21.0	4.258149
22.0	4.261851
23.0	4.264686
24.0	4.266858
25.0	4.268522
26.0	4.269796
27.0	4.270772
28.0	4.271519
29.0	4.272092
30.0	4.272531
31.0	4.272867
32.0	4.273124
33.0	4.273321
34.0	4.273472
35.0	4.273588
36.0	4.273676
37.0	4.273744
38.0	4.273796
39.0	4.273836
40.0	4.273866
41.0	4.27389
42.0	4.273907
43.0	4.273921
44.0	4.273932
45.0	4.27394
46.0	4.273946
47.0	4.273951
48.0	4.273954
49.0	4.273957
50.0	4.273959
51.0	4.273961
52.0	4.273962
53.0	4.273963
54.0	4.273964
55.0	4.273964
56.0	4.273965
57.0	4.273965
58.0	4.273965
59.0	4.273965
60.0	4.273965
61.0	4.273966
62.0	4.273966
63.0	4.273966
64.0	4.273966
65.0	4.273966
66.0	4.273966
67.0	4.273966
68.0	4.273966
69.0	4.273966
70.0	4.273966
71.0	4.273966
72.0	4.273966
73.0	4.273966
74.0	4.273966
75.0	4.273966
76.0	4.273966
77.0	4.273966
78.0	4.273966
79.0	4.273966
80.0	4.273966
81.0	4.273966
82.0	4.273966
83.0	4.273966
84.0	4.273966
85.0	4.273966
86.0	4.273966
87.0	4.273966
88.0	4.273966
89.0	4.273966
90.0	4.273966
91.0	4.273966
92.0	4.273966
93.0	4.273966
94.0	4.273966
95.0	4.273966
96.0	4.273966
97.0	4.273966
98.0	4.273966
99.0	4.273966
100.0	4.273966

