## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Sorted_BAM/HOR2462_sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/HOR2462_deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/stats/HOR2462_Duplication_Metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Mar 25 12:20:25 CDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IPKLAND_HOR2462	603177	57957822	1358123	355269	9316619	6376	0.162965	160474791

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000091
2.0	1.697019
3.0	2.182683
4.0	2.521125
5.0	2.756973
6.0	2.921328
7.0	3.03586
8.0	3.115674
9.0	3.171293
10.0	3.210052
11.0	3.237062
12.0	3.255884
13.0	3.269001
14.0	3.278141
15.0	3.284511
16.0	3.288949
17.0	3.292043
18.0	3.294198
19.0	3.2957
20.0	3.296747
21.0	3.297476
22.0	3.297985
23.0	3.298339
24.0	3.298586
25.0	3.298758
26.0	3.298878
27.0	3.298961
28.0	3.29902
29.0	3.29906
30.0	3.299088
31.0	3.299108
32.0	3.299122
33.0	3.299131
34.0	3.299138
35.0	3.299143
36.0	3.299146
37.0	3.299148
38.0	3.29915
39.0	3.299151
40.0	3.299152
41.0	3.299152
42.0	3.299153
43.0	3.299153
44.0	3.299153
45.0	3.299153
46.0	3.299153
47.0	3.299153
48.0	3.299153
49.0	3.299153
50.0	3.299153
51.0	3.299153
52.0	3.299153
53.0	3.299153
54.0	3.299153
55.0	3.299153
56.0	3.299153
57.0	3.299153
58.0	3.299153
59.0	3.299153
60.0	3.299153
61.0	3.299153
62.0	3.299153
63.0	3.299153
64.0	3.299153
65.0	3.299153
66.0	3.299153
67.0	3.299153
68.0	3.299153
69.0	3.299153
70.0	3.299153
71.0	3.299153
72.0	3.299153
73.0	3.299153
74.0	3.299153
75.0	3.299153
76.0	3.299153
77.0	3.299153
78.0	3.299153
79.0	3.299153
80.0	3.299153
81.0	3.299153
82.0	3.299153
83.0	3.299153
84.0	3.299153
85.0	3.299153
86.0	3.299153
87.0	3.299153
88.0	3.299153
89.0	3.299153
90.0	3.299153
91.0	3.299153
92.0	3.299153
93.0	3.299153
94.0	3.299153
95.0	3.299153
96.0	3.299153
97.0	3.299153
98.0	3.299153
99.0	3.299153
100.0	3.299153

