## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Sorted_BAM/BCC1488_sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/BCC1488_deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/stats/BCC1488_Duplication_Metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 05 20:11:57 CDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IPKLAND_BCC1488	378971	55824654	937197	210861	9647662	4672	0.174118	142363160

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000068
2.0	1.675732
3.0	2.132222
4.0	2.440634
5.0	2.649003
6.0	2.789781
7.0	2.884892
8.0	2.949151
9.0	2.992566
10.0	3.021898
11.0	3.041715
12.0	3.055103
13.0	3.064149
14.0	3.07026
15.0	3.074389
16.0	3.077179
17.0	3.079064
18.0	3.080337
19.0	3.081197
20.0	3.081778
21.0	3.082171
22.0	3.082436
23.0	3.082616
24.0	3.082737
25.0	3.082819
26.0	3.082874
27.0	3.082911
28.0	3.082936
29.0	3.082954
30.0	3.082965
31.0	3.082973
32.0	3.082978
33.0	3.082982
34.0	3.082984
35.0	3.082986
36.0	3.082987
37.0	3.082987
38.0	3.082988
39.0	3.082988
40.0	3.082989
41.0	3.082989
42.0	3.082989
43.0	3.082989
44.0	3.082989
45.0	3.082989
46.0	3.082989
47.0	3.082989
48.0	3.082989
49.0	3.082989
50.0	3.082989
51.0	3.082989
52.0	3.082989
53.0	3.082989
54.0	3.082989
55.0	3.082989
56.0	3.082989
57.0	3.082989
58.0	3.082989
59.0	3.082989
60.0	3.082989
61.0	3.082989
62.0	3.082989
63.0	3.082989
64.0	3.082989
65.0	3.082989
66.0	3.082989
67.0	3.082989
68.0	3.082989
69.0	3.082989
70.0	3.082989
71.0	3.082989
72.0	3.082989
73.0	3.082989
74.0	3.082989
75.0	3.082989
76.0	3.082989
77.0	3.082989
78.0	3.082989
79.0	3.082989
80.0	3.082989
81.0	3.082989
82.0	3.082989
83.0	3.082989
84.0	3.082989
85.0	3.082989
86.0	3.082989
87.0	3.082989
88.0	3.082989
89.0	3.082989
90.0	3.082989
91.0	3.082989
92.0	3.082989
93.0	3.082989
94.0	3.082989
95.0	3.082989
96.0	3.082989
97.0	3.082989
98.0	3.082989
99.0	3.082989
100.0	3.082989

