## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Sorted_BAM/FT414_sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/FT414_deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/stats/FT414_Duplication_Metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Mar 25 07:15:27 CDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IPKLAND_FT414	378594	55828741	1052244	207293	8343702	12403	0.150797	167864193

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000187
2.0	1.717391
3.0	2.231676
4.0	2.600453
5.0	2.864893
6.0	3.054514
7.0	3.190485
8.0	3.287986
9.0	3.357901
10.0	3.408035
11.0	3.443985
12.0	3.469763
13.0	3.488248
14.0	3.501503
15.0	3.511007
16.0	3.517823
17.0	3.52271
18.0	3.526215
19.0	3.528728
20.0	3.53053
21.0	3.531822
22.0	3.532748
23.0	3.533413
24.0	3.533889
25.0	3.534231
26.0	3.534476
27.0	3.534651
28.0	3.534777
29.0	3.534868
30.0	3.534932
31.0	3.534979
32.0	3.535012
33.0	3.535036
34.0	3.535053
35.0	3.535065
36.0	3.535074
37.0	3.53508
38.0	3.535085
39.0	3.535088
40.0	3.535091
41.0	3.535092
42.0	3.535093
43.0	3.535094
44.0	3.535095
45.0	3.535095
46.0	3.535096
47.0	3.535096
48.0	3.535096
49.0	3.535096
50.0	3.535096
51.0	3.535096
52.0	3.535096
53.0	3.535096
54.0	3.535096
55.0	3.535096
56.0	3.535096
57.0	3.535096
58.0	3.535096
59.0	3.535096
60.0	3.535096
61.0	3.535096
62.0	3.535096
63.0	3.535096
64.0	3.535096
65.0	3.535096
66.0	3.535096
67.0	3.535096
68.0	3.535096
69.0	3.535096
70.0	3.535096
71.0	3.535096
72.0	3.535096
73.0	3.535096
74.0	3.535096
75.0	3.535096
76.0	3.535096
77.0	3.535096
78.0	3.535096
79.0	3.535096
80.0	3.535096
81.0	3.535096
82.0	3.535096
83.0	3.535096
84.0	3.535096
85.0	3.535096
86.0	3.535096
87.0	3.535096
88.0	3.535096
89.0	3.535096
90.0	3.535096
91.0	3.535096
92.0	3.535096
93.0	3.535096
94.0	3.535096
95.0	3.535096
96.0	3.535096
97.0	3.535096
98.0	3.535096
99.0	3.535096
100.0	3.535096

