## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Sorted_BAM/SBCC002_sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/SBCC002_deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/stats/SBCC002_Duplication_Metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Mar 25 15:29:10 CDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IPKLAND_SBCC002	410725	42098867	973839	214126	4587568	11382	0.110973	179241390

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.00024
2.0	1.791101
3.0	2.416413
4.0	2.910829
5.0	3.30175
6.0	3.61084
7.0	3.855229
8.0	4.04846
9.0	4.201243
10.0	4.322044
11.0	4.417557
12.0	4.493078
13.0	4.552789
14.0	4.600001
15.0	4.637331
16.0	4.666846
17.0	4.690183
18.0	4.708635
19.0	4.723224
20.0	4.734759
21.0	4.74388
22.0	4.751092
23.0	4.756793
24.0	4.761302
25.0	4.764866
26.0	4.767685
27.0	4.769913
28.0	4.771675
29.0	4.773068
30.0	4.77417
31.0	4.775041
32.0	4.77573
33.0	4.776274
34.0	4.776705
35.0	4.777045
36.0	4.777314
37.0	4.777527
38.0	4.777695
39.0	4.777828
40.0	4.777933
41.0	4.778017
42.0	4.778082
43.0	4.778134
44.0	4.778175
45.0	4.778208
46.0	4.778234
47.0	4.778254
48.0	4.77827
49.0	4.778283
50.0	4.778293
51.0	4.778301
52.0	4.778307
53.0	4.778312
54.0	4.778316
55.0	4.778319
56.0	4.778321
57.0	4.778323
58.0	4.778325
59.0	4.778326
60.0	4.778327
61.0	4.778328
62.0	4.778328
63.0	4.778329
64.0	4.778329
65.0	4.77833
66.0	4.77833
67.0	4.77833
68.0	4.77833
69.0	4.77833
70.0	4.77833
71.0	4.77833
72.0	4.77833
73.0	4.77833
74.0	4.778331
75.0	4.778331
76.0	4.778331
77.0	4.778331
78.0	4.778331
79.0	4.778331
80.0	4.778331
81.0	4.778331
82.0	4.778331
83.0	4.778331
84.0	4.778331
85.0	4.778331
86.0	4.778331
87.0	4.778331
88.0	4.778331
89.0	4.778331
90.0	4.778331
91.0	4.778331
92.0	4.778331
93.0	4.778331
94.0	4.778331
95.0	4.778331
96.0	4.778331
97.0	4.778331
98.0	4.778331
99.0	4.778331
100.0	4.778331

