## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Sorted_BAM/BCC108_sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/BCC108_deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/stats/BCC108_Duplication_Metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 24 21:32:44 CDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IPKLAND_BCC108	440498	51801112	1143016	262096	11725450	11133	0.227916	96477050

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000162
2.0	1.584799
3.0	1.926544
4.0	2.126308
5.0	2.243079
6.0	2.311336
7.0	2.351235
8.0	2.374558
9.0	2.388191
10.0	2.39616
11.0	2.400818
12.0	2.403541
13.0	2.405133
14.0	2.406064
15.0	2.406607
16.0	2.406925
17.0	2.407111
18.0	2.40722
19.0	2.407283
20.0	2.40732
21.0	2.407342
22.0	2.407355
23.0	2.407362
24.0	2.407366
25.0	2.407369
26.0	2.407371
27.0	2.407371
28.0	2.407372
29.0	2.407372
30.0	2.407372
31.0	2.407372
32.0	2.407373
33.0	2.407373
34.0	2.407373
35.0	2.407373
36.0	2.407373
37.0	2.407373
38.0	2.407373
39.0	2.407373
40.0	2.407373
41.0	2.407373
42.0	2.407373
43.0	2.407373
44.0	2.407373
45.0	2.407373
46.0	2.407373
47.0	2.407373
48.0	2.407373
49.0	2.407373
50.0	2.407373
51.0	2.407373
52.0	2.407373
53.0	2.407373
54.0	2.407373
55.0	2.407373
56.0	2.407373
57.0	2.407373
58.0	2.407373
59.0	2.407373
60.0	2.407373
61.0	2.407373
62.0	2.407373
63.0	2.407373
64.0	2.407373
65.0	2.407373
66.0	2.407373
67.0	2.407373
68.0	2.407373
69.0	2.407373
70.0	2.407373
71.0	2.407373
72.0	2.407373
73.0	2.407373
74.0	2.407373
75.0	2.407373
76.0	2.407373
77.0	2.407373
78.0	2.407373
79.0	2.407373
80.0	2.407373
81.0	2.407373
82.0	2.407373
83.0	2.407373
84.0	2.407373
85.0	2.407373
86.0	2.407373
87.0	2.407373
88.0	2.407373
89.0	2.407373
90.0	2.407373
91.0	2.407373
92.0	2.407373
93.0	2.407373
94.0	2.407373
95.0	2.407373
96.0	2.407373
97.0	2.407373
98.0	2.407373
99.0	2.407373
100.0	2.407373

