## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Sorted_BAM/FT519_sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/FT519_deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/stats/FT519_Duplication_Metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Mar 25 07:27:33 CDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IPKLAND_FT519	344785	57386915	1033259	195687	9582379	12390	0.168178	152277647

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000178
2.0	1.686314
3.0	2.157013
4.0	2.479919
5.0	2.701437
6.0	2.853402
7.0	2.957652
8.0	3.029168
9.0	3.07823
10.0	3.111887
11.0	3.134976
12.0	3.150816
13.0	3.161682
14.0	3.169136
15.0	3.17425
16.0	3.177758
17.0	3.180164
18.0	3.181815
19.0	3.182948
20.0	3.183725
21.0	3.184258
22.0	3.184624
23.0	3.184874
24.0	3.185047
25.0	3.185165
26.0	3.185246
27.0	3.185301
28.0	3.185339
29.0	3.185365
30.0	3.185383
31.0	3.185396
32.0	3.185404
33.0	3.18541
34.0	3.185414
35.0	3.185417
36.0	3.185418
37.0	3.18542
38.0	3.185421
39.0	3.185421
40.0	3.185422
41.0	3.185422
42.0	3.185422
43.0	3.185422
44.0	3.185422
45.0	3.185422
46.0	3.185422
47.0	3.185422
48.0	3.185423
49.0	3.185423
50.0	3.185423
51.0	3.185423
52.0	3.185423
53.0	3.185423
54.0	3.185423
55.0	3.185423
56.0	3.185423
57.0	3.185423
58.0	3.185423
59.0	3.185423
60.0	3.185423
61.0	3.185423
62.0	3.185423
63.0	3.185423
64.0	3.185423
65.0	3.185423
66.0	3.185423
67.0	3.185423
68.0	3.185423
69.0	3.185423
70.0	3.185423
71.0	3.185423
72.0	3.185423
73.0	3.185423
74.0	3.185423
75.0	3.185423
76.0	3.185423
77.0	3.185423
78.0	3.185423
79.0	3.185423
80.0	3.185423
81.0	3.185423
82.0	3.185423
83.0	3.185423
84.0	3.185423
85.0	3.185423
86.0	3.185423
87.0	3.185423
88.0	3.185423
89.0	3.185423
90.0	3.185423
91.0	3.185423
92.0	3.185423
93.0	3.185423
94.0	3.185423
95.0	3.185423
96.0	3.185423
97.0	3.185423
98.0	3.185423
99.0	3.185423
100.0	3.185423

