## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Sorted_BAM/HOR154_sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/HOR154_deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/IPK_Landraces/sequence_handling/SAM_Processing/Picard/Deduped_BAM/stats/HOR154_Duplication_Metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Mar 25 11:28:55 CDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IPKLAND_HOR154	398042	44864665	999164	217837	8474226	11157	0.190467	103384210

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000199
2.0	1.648265
3.0	2.068172
4.0	2.340246
5.0	2.516532
6.0	2.630755
7.0	2.704764
8.0	2.752718
9.0	2.783789
10.0	2.803921
11.0	2.816965
12.0	2.825417
13.0	2.830893
14.0	2.834441
15.0	2.836741
16.0	2.83823
17.0	2.839195
18.0	2.839821
19.0	2.840226
20.0	2.840489
21.0	2.840659
22.0	2.840769
23.0	2.84084
24.0	2.840887
25.0	2.840917
26.0	2.840936
27.0	2.840949
28.0	2.840957
29.0	2.840962
30.0	2.840965
31.0	2.840968
32.0	2.840969
33.0	2.84097
34.0	2.840971
35.0	2.840971
36.0	2.840971
37.0	2.840971
38.0	2.840972
39.0	2.840972
40.0	2.840972
41.0	2.840972
42.0	2.840972
43.0	2.840972
44.0	2.840972
45.0	2.840972
46.0	2.840972
47.0	2.840972
48.0	2.840972
49.0	2.840972
50.0	2.840972
51.0	2.840972
52.0	2.840972
53.0	2.840972
54.0	2.840972
55.0	2.840972
56.0	2.840972
57.0	2.840972
58.0	2.840972
59.0	2.840972
60.0	2.840972
61.0	2.840972
62.0	2.840972
63.0	2.840972
64.0	2.840972
65.0	2.840972
66.0	2.840972
67.0	2.840972
68.0	2.840972
69.0	2.840972
70.0	2.840972
71.0	2.840972
72.0	2.840972
73.0	2.840972
74.0	2.840972
75.0	2.840972
76.0	2.840972
77.0	2.840972
78.0	2.840972
79.0	2.840972
80.0	2.840972
81.0	2.840972
82.0	2.840972
83.0	2.840972
84.0	2.840972
85.0	2.840972
86.0	2.840972
87.0	2.840972
88.0	2.840972
89.0	2.840972
90.0	2.840972
91.0	2.840972
92.0	2.840972
93.0	2.840972
94.0	2.840972
95.0	2.840972
96.0	2.840972
97.0	2.840972
98.0	2.840972
99.0	2.840972
100.0	2.840972

